обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-0001,Млечная Черта,спиральная,0.00,—,3,1.00,—,—,—,домашняя галактика; Кругляш расположен во втором рукаве
ПГ-0002,Туманность Штрих,спиральная,2.30,0.00048,5,0.84,1897,А. Н. Квадратов,Рефрактор Квадратова,ближайшая крупная соседка Млечной Черты
ПГ-0003,Туманность Штрих-Б,спиральная,2.80,0.00058,3,0.31,1912,Ф. И. Секущев,Отрезок-1,не путать с ПГ-0002; долго считалась её спутником
ПГ-0004,Колесо-1,спиральная,8.06,0.00170,5,1.61,1930,И. П. Хордов,Отрезок-1,компактная
ПГ-0008,Зигзаг-1,неправильная,124.01,0.02590,0,0.46,1996,Б. Г. Эллипсов,Отрезок-3,повышенная радиояркость
ПГ-0010,Большая Клякса,неправильная,0.16,0.00003,0,0.09,—,известна с древности,—,спутник Млечной Черты
ПГ-0011,Малая Клякса,неправильная,0.19,0.00004,0,0.03,—,известна с древности,—,спутник Млечной Черты
ПГ-0012,—,спиральная,196.49,0.04116,9,0.45,2008,Б. Г. Эллипсов,Отрезок-3,искажена приливом
ПГ-0013,—,кольцевая,12.34,0.00249,0,0.48,2004,группа ИПК,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0015,—,неправильная,16.54,0.00357,0,0.84,1917,А. Н. Квадратов,Отрезок-1,компактная
ПГ-0016,—,линзовидная,170.13,0.03563,0,0.85,1990,Б. Г. Эллипсов,Отрезок-3,
ПГ-0018,—,спиральная,57.15,0.01193,7,0.40,1970,Н. И. Хордова,Отрезок-2,искажена приливом
ПГ-0022,—,кольцевая,4.29,0.00087,0,0.83,1907,А. Н. Квадратов,Рефрактор Квадратова,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0024,—,линзовидная,143.88,0.02996,0,0.60,1992,Б. Г. Эллипсов,Отрезок-3,двойное ядро
ПГ-0026,—,кольцевая,377.10,0.07881,0,0.52,2019,И. И. Хордова,Периметр-1,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0029,—,спиральная,75.86,0.01589,7,0.53,1962,Е. С. Треугольникова,Луч,
ПГ-0031,—,спиральная,16.72,0.00353,5,1.63,1897,А. Н. Квадратов,Рефрактор Квадратова,в поле обзора ОБХОД-1
ПГ-0034,—,кольцевая,54.46,0.01145,0,1.08,2015,С. О. Окружнова,Периметр-1,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0036,—,спиральная,171.93,0.03570,1,1.17,2015,обзор ОБХОД-1,Отрезок-3М,видна почти с ребра (в 2D — точно с ребра)
ПГ-0038,—,неправильная,9.18,0.00196,0,1.79,1935,А. К. Толщин,Отрезок-2,
ПГ-0040,—,эллиптическая,81.57,0.01690,0,0.53,1937,группа ИПК,Отрезок-2,кандидат в кольцевые
ПГ-0042,—,эллиптическая,127.21,0.02659,0,1.92,1990,Б. Г. Эллипсов,Луч,компактная
ПГ-0045,—,эллиптическая,11.12,0.00219,0,1.08,1962,Л. А. Пентагонов,Луч,в паре с соседней
ПГ-0046,—,неправильная,23.81,0.00487,0,0.22,1943,группа ИПК,Отрезок-2,искажена приливом
ПГ-0049,—,спиральная,33.60,0.00715,5,1.81,2007,С. О. Окружнова,Луч-2,кандидат в кольцевые
ПГ-0051,—,спиральная,211.48,0.04414,3,1.87,2010,И. И. Хордова,Отрезок-3,в поле обзора ОБХОД-1
ПГ-0053,—,эллиптическая,23.46,0.00476,0,2.83,1930,И. П. Хордов,Отрезок-1,в паре с соседней
ПГ-0054,—,спиральная,15.93,0.00358,1,1.86,1961,Е. С. Треугольникова,Отрезок-2,двойное ядро
ПГ-0056,—,спиральная,25.02,0.00501,1,0.65,1902,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-0058,—,спиральная,183.63,0.03840,1,1.76,2018,М. С. Точкин,Периметр-1,в паре с соседней
ПГ-0059,—,спиральная,168.48,0.03495,3,1.59,2009,Б. Г. Эллипсов,Отрезок-3,двойное ядро
ПГ-0061,—,линзовидная,69.52,0.01445,0,0.39,1994,группа ИПК,Отрезок-3,"слабая, требует подтверждения"
ПГ-0062,Штопор-1,эллиптическая,186.77,0.03910,0,0.81,1980,Б. Г. Эллипсов,Луч,повышенная радиояркость
ПГ-0067,—,спиральная,4.01,0.00084,5,0.70,2003,группа ИПК,Отрезок-3,повышенная радиояркость
ПГ-0068,—,линзовидная,363.30,0.07564,0,0.70,2013,Б. Г. Эллипсов,Отрезок-3,в паре с соседней
ПГ-0069,—,спиральная,12.15,0.00244,3,0.44,1935,И. П. Хордов,Отрезок-2,координаты уточнены в 2019
ПГ-0075,—,спиральная,75.72,0.01607,7,0.27,2001,Г. Ф. Ромбов,Отрезок-3,в паре с соседней
ПГ-0078,—,эллиптическая,60.65,0.01259,0,0.55,1942,А. К. Толщин,Отрезок-2,искажена приливом
ПГ-0083,—,линзовидная,76.21,0.01574,0,1.93,1990,Г. Ф. Ромбов,Отрезок-3,"слабая, требует подтверждения"
ПГ-0084,—,эллиптическая,28.08,0.00587,0,0.29,1920,А. Н. Квадратов,Отрезок-1,в поле обзора ОБХОД-1
ПГ-0088,—,линзовидная,33.91,0.00719,0,0.47,2001,И. И. Хордова,Отрезок-3,
ПГ-0089,—,эллиптическая,74.57,0.01557,0,0.18,2007,И. И. Хордова,Отрезок-3,двойное ядро
ПГ-0091,—,спиральная,52.46,0.01100,5,0.20,1947,Е. С. Треугольникова,Отрезок-2,
ПГ-0092,—,спиральная,45.74,0.00949,5,0.39,1962,Е. С. Треугольникова,Луч,двойное ядро
ПГ-0093,—,эллиптическая,6.99,0.00140,0,0.27,1916,А. Н. Квадратов,Отрезок-1,видна почти с ребра (в 2D — точно с ребра)
ПГ-0095,—,спиральная,139.07,0.02916,9,0.37,2000,И. И. Хордова,Луч,компактная
ПГ-0096,—,спиральная,6.83,0.00148,3,1.27,1903,Ф. И. Секущев,Рефрактор Квадратова,искажена приливом
ПГ-0097,—,неправильная,16.20,0.00364,0,0.60,1908,А. Н. Квадратов,Рефрактор Квадратова,
ПГ-0098,—,линзовидная,37.72,0.00811,0,0.08,1975,группа ИПК,Отрезок-2,координаты уточнены в 2019
ПГ-0099,—,спиральная,95.04,0.01988,7,0.50,2020,С. О. Окружнова,Отрезок-3М,пылевая полоса вдоль оси
ПГ-0100,—,эллиптическая,31.88,0.00670,0,0.63,2019,С. О. Окружнова,Отрезок-3М,в паре с соседней
ПГ-0101,Спираль Архимеда-1,спиральная,9.80,0.00205,1,0.52,1931,И. П. Хордов,Отрезок-1,однорукавная; эталон для закона Пентагонова
ПГ-0107,Спираль Архимеда-7,спиральная,12.40,0.00259,7,1.35,1936,И. П. Хордов,Отрезок-2,семь рукавов; самая «рукастая» из близких
ПГ-0108,—,спиральная,112.25,0.02352,9,0.32,1989,Б. Г. Эллипсов,Отрезок-3,координаты уточнены в 2019
ПГ-0109,—,неправильная,26.17,0.00561,0,1.68,1913,А. Н. Квадратов,Отрезок-1,координаты уточнены в 2019
ПГ-0116,—,линзовидная,19.78,0.00417,0,2.12,1979,Г. Ф. Ромбов,Отрезок-3,искажена приливом
ПГ-0117,Улитка-1,спиральная,7.90,0.00171,5,0.22,1905,Ф. И. Секущев,Рефрактор Квадратова,
ПГ-0123,—,эллиптическая,388.84,0.08115,0,0.14,2023,М. С. Точкин,Периметр-1,повышенная радиояркость
ПГ-0124,—,эллиптическая,77.62,0.01609,0,0.79,2001,группа ИПК,Отрезок-3,пылевая полоса вдоль оси
ПГ-0126,—,неправильная,123.10,0.02560,0,3.25,2003,С. О. Окружнова,Отрезок-3,повышенная радиояркость
ПГ-0129,—,спиральная,177.31,0.03695,3,1.36,1991,Г. Ф. Ромбов,Луч,компактная
